"answer","answer_coord","key_feature","label","position","response","response_coord","search_rt","space_rotation","session","space_size"
"386","-2_8","wood","set1","group2","000344","8_16",7037.80000007153,0,"session3_transfer_reconstruction","21x21"
"212","-8_0","wood",NA,"boundary","000193","4_9",4043.89999997616,0,"session3_transfer_reconstruction","21x21"
"100","6_-6","wood","set2","group1","000164","17_7",2645.69999992847,0,"session3_transfer_reconstruction","21x21"
"306","2_4","wood","set1","group2","000309","15_14",4475.20000004768,0,"session3_transfer_reconstruction","21x21"
"340","-6_6","wood","set1","group2","000319","4_15",7324.39999997616,0,"session3_transfer_reconstruction","21x21"
"134","-2_-4","wood","set2","group1","000218","8_10",10149.1000000238,0,"session3_transfer_reconstruction","21x21"
"270","8_2","wood","set1","group2","000268","16_12",2010.90000009537,0,"session3_transfer_reconstruction","21x21"
"98","4_-6","wood","set2","group1","000078","15_3",11334.6999999285,0,"session3_transfer_reconstruction","21x21"
"224","4_0","wood",NA,"boundary","000266","14_12",4990.60000002384,0,"session3_transfer_reconstruction","21x21"
"268","6_2","wood","set1","group2","000265","13_12",2963.29999995232,0,"session3_transfer_reconstruction","21x21"
"222","2_0","wood",NA,"boundary","000265","13_12",2165,0,"session3_transfer_reconstruction","21x21"
"142","6_-4","wood","set2","group1","000137","11_6",3569.29999995232,0,"session3_transfer_reconstruction","21x21"
"384","-4_8","wood","set1","group2","000384","6_18",6060.5,0,"session3_transfer_reconstruction","21x21"
"392","4_8","wood","set1","group2","000372","15_17",2270,0,"session3_transfer_reconstruction","21x21"
"298","-6_4","wood","set1","group2","000299","5_14",3635,0,"session3_transfer_reconstruction","21x21"
"266","4_2","wood","set1","group2","000331","16_15",2285.10000002384,0,"session3_transfer_reconstruction","21x21"
"138","2_-4","wood","set2","group1","000101","17_4",2555,0,"session3_transfer_reconstruction","21x21"
"180","2_-2","wood","set2","group1","000187","19_8",7467.20000004768,0,"session3_transfer_reconstruction","21x21"
"348","2_6","wood","set1","group2","000373","16_17",3270.79999995232,0,"session3_transfer_reconstruction","21x21"
"172","-6_-2","wood","set2","group1","000172","4_8",6845.20000004768,0,"session3_transfer_reconstruction","21x21"
"130","-6_-4","wood","set2","group1","000127","1_6",4363.39999997616,0,"session3_transfer_reconstruction","21x21"
"262","0_2","wood","set1","group2","000262","10_12",6255.29999995232,0,"session3_transfer_reconstruction","21x21"
"388","0_8","wood","set1","group2","000346","10_16",4964.89999997616,0,"session3_transfer_reconstruction","21x21"
"346","0_6","wood","set1","group2","000410","11_19",1416.89999997616,0,"session3_transfer_reconstruction","21x21"
"176","-2_-2","wood","set2","group1","000175","7_8",7159,0,"session3_transfer_reconstruction","21x21"
"96","2_-6","wood","set2","group1","000074","11_3",4014.59999990463,0,"session3_transfer_reconstruction","21x21"
"342","-4_6","wood","set1","group2","000322","7_15",5624.10000002384,0,"session3_transfer_reconstruction","21x21"
"300","-4_4","wood","set1","group2","000301","7_14",3340.10000002384,0,"session3_transfer_reconstruction","21x21"
"304","0_4","wood","set1","group2","000306","12_14",2175.39999997616,0,"session3_transfer_reconstruction","21x21"
"254","-8_2","wood","set1","group2","000277","4_13",5067.29999995232,0,"session3_transfer_reconstruction","21x21"
"256","-6_2","wood","set1","group2","000275","2_13",2610.89999997616,0,"session3_transfer_reconstruction","21x21"
"344","-2_6","wood","set1","group2","000344","8_16",2271.5,0,"session3_transfer_reconstruction","21x21"
"50","-2_-8","wood","set2","group1","000113","8_5",4192.60000002384,0,"session3_transfer_reconstruction","21x21"
"218","-2_0","wood",NA,"boundary","000218","8_10",3438.79999995232,0,"session3_transfer_reconstruction","21x21"
"136","0_-4","wood","set2","group1","000158","11_7",2692.69999992847,0,"session3_transfer_reconstruction","21x21"
"90","-4_-6","wood","set2","group1","000050","8_2",5007.40000009537,0,"session3_transfer_reconstruction","21x21"
"140","4_-4","wood","set2","group1","000163","16_7",3406.80000007153,0,"session3_transfer_reconstruction","21x21"
"186","8_-2","wood","set2","group1","000146","20_6",6319.20000004768,0,"session3_transfer_reconstruction","21x21"
"184","6_-2","wood","set2","group1","000207","18_9",5827.40000009537,0,"session3_transfer_reconstruction","21x21"
"56","4_-8","wood","set2","group1","000037","16_1",8461.79999995232,0,"session3_transfer_reconstruction","21x21"
"214","-6_0","wood",NA,"boundary","000171","3_8",10159,0,"session3_transfer_reconstruction","21x21"
"144","8_-4","wood","set2","group1","000161","14_7",4352.19999992847,0,"session3_transfer_reconstruction","21x21"
"312","8_4","wood","set1","group2","000309","15_14",5174.5,0,"session3_transfer_reconstruction","21x21"
"54","2_-8","wood","set2","group1","000075","12_3",4613.60000002384,0,"session3_transfer_reconstruction","21x21"
"174","-4_-2","wood","set2","group1","000175","7_8",11391,0,"session3_transfer_reconstruction","21x21"
"220","0_0","wood",NA,"boundary","000242","11_11",2875.39999997616,0,"session3_transfer_reconstruction","21x21"
"352","6_6","wood","set1","group2","000308","14_14",2054.69999992847,0,"session3_transfer_reconstruction","21x21"
"296","-8_4","wood","set1","group2","000255","3_12",5121.30000007153,0,"session3_transfer_reconstruction","21x21"
"132","-4_-4","wood","set2","group1","000174","6_8",4110.5,0,"session3_transfer_reconstruction","21x21"
"216","-4_0","wood",NA,"boundary","000216","6_10",5682.20000004768,0,"session3_transfer_reconstruction","21x21"
"310","6_4","wood","set1","group2","000285","12_13",3891,0,"session3_transfer_reconstruction","21x21"
"182","4_-2","wood","set2","group1","000182","14_8",2498.39999997616,0,"session3_transfer_reconstruction","21x21"
"390","2_8","wood","set1","group2","000368","11_17",3270.69999992847,0,"session3_transfer_reconstruction","21x21"
"128","-8_-4","wood","set2","group1","000108","3_5",4540.5,0,"session3_transfer_reconstruction","21x21"
"170","-8_-2","wood","set2","group1","000149","2_7",8963.60000002384,0,"session3_transfer_reconstruction","21x21"
"228","8_0","wood",NA,"boundary","000224","14_10",2776.19999992847,0,"session3_transfer_reconstruction","21x21"
"88","-6_-6","wood","set2","group1","000087","3_4",8919.29999995232,0,"session3_transfer_reconstruction","21x21"
"302","-2_4","wood","set1","group2","000260","8_12",4314.69999992847,0,"session3_transfer_reconstruction","21x21"
"94","0_-6","wood","set2","group1","000136","10_6",7395.60000002384,0,"session3_transfer_reconstruction","21x21"
"52","0_-8","wood","set2","group1","000074","11_3",2712,0,"session3_transfer_reconstruction","21x21"
"92","-2_-6","wood","set2","group1","000071","8_3",2480,0,"session3_transfer_reconstruction","21x21"
"226","6_0","wood",NA,"boundary","000265","13_12",4573.80000007153,0,"session3_transfer_reconstruction","21x21"
"260","-2_2","wood","set1","group2","000218","8_10",4699.40000009537,0,"session3_transfer_reconstruction","21x21"
"258","-4_2","wood","set1","group2","000237","6_11",5131.20000004768,0,"session3_transfer_reconstruction","21x21"
"48","-4_-8","wood","set2","group1","000048","6_2",3506.29999995232,0,"session3_transfer_reconstruction","21x21"
"178","0_-2","wood","set2","group1","000052","10_2",4667.69999992847,0,"session3_transfer_reconstruction","21x21"
"350","4_6","wood","set1","group2","000370","13_17",5997.89999997616,0,"session3_transfer_reconstruction","21x21"
"308","4_4","wood","set1","group2","000392","14_18",1685.79999995232,0,"session3_transfer_reconstruction","21x21"
"264","2_2","wood","set1","group2","000266","14_12",2315.20000004768,0,"session3_transfer_reconstruction","21x21"
