"answer","answer_coord","key_feature","label","position","response","response_coord","search_rt","space_rotation","session","space_size"
"150","6_0","wood",NA,"boundary","000184","14_10",5783.20000004768,0,"session3_transfer_reconstruction","17x17"
"106","-4_-2","wood","set1","group1","000089","4_5",12342,0,"session3_transfer_reconstruction","17x17"
"114","4_-2","wood","set1","group1","000081","13_4",5615.39999997616,0,"session3_transfer_reconstruction","17x17"
"248","2_6","wood","set2","group2","000200","13_11",5067.10000002384,0,"session3_transfer_reconstruction","17x17"
"44","2_-6","wood","set1","group1","000080","12_4",7104.10000002384,0,"session3_transfer_reconstruction","17x17"
"214","2_4","wood","set2","group2","000199","12_11",2852.29999995232,0,"session3_transfer_reconstruction","17x17"
"216","4_4","wood","set2","group2","000233","12_13",2083.29999995232,0,"session3_transfer_reconstruction","17x17"
"184","6_2","wood","set2","group2","000217","13_12",3184.79999995232,0,"session3_transfer_reconstruction","17x17"
"178","0_2","wood","set2","group2","000212","8_12",6349.70000004768,0,"session3_transfer_reconstruction","17x17"
"212","0_4","wood","set2","group2","000195","8_11",3315.79999995232,0,"session3_transfer_reconstruction","17x17"
"108","-2_-2","wood","set1","group1","000091","6_5",12229.2000000477,0,"session3_transfer_reconstruction","17x17"
"246","0_6","wood","set2","group2","000195","8_11",5265.79999995232,0,"session3_transfer_reconstruction","17x17"
"138","-6_0","wood",NA,"boundary","000104","2_6",8901.79999995232,0,"session3_transfer_reconstruction","17x17"
"140","-4_0","wood",NA,"boundary","000072","4_4",15054,0,"session3_transfer_reconstruction","17x17"
"172","-6_2","wood","set2","group2","000171","1_10",5482.60000002384,0,"session3_transfer_reconstruction","17x17"
"80","4_-4","wood","set1","group1","000066","15_3",8459.5,0,"session3_transfer_reconstruction","17x17"
"112","2_-2","wood","set1","group1","000097","12_5",6129.29999995232,0,"session3_transfer_reconstruction","17x17"
"76","0_-4","wood","set1","group1","000076","8_4",3657.39999997616,0,"session3_transfer_reconstruction","17x17"
"142","-2_0","wood",NA,"boundary","000173","3_10",14989.3999999762,0,"session3_transfer_reconstruction","17x17"
"144","0_0","wood",NA,"boundary","000110","8_6",9027,0,"session3_transfer_reconstruction","17x17"
"148","4_0","wood",NA,"boundary","000132","13_7",5272.89999997616,0,"session3_transfer_reconstruction","17x17"
"176","-2_2","wood","set2","group2","000193","6_11",10768.2000000477,0,"session3_transfer_reconstruction","17x17"
"174","-4_2","wood","set2","group2","000191","4_11",9757.5,0,"session3_transfer_reconstruction","17x17"
"182","4_2","wood","set2","group2","000183","13_10",3599.89999997616,0,"session3_transfer_reconstruction","17x17"
"40","-2_-6","wood","set1","group1","000021","4_1",11873.2999999523,0,"session3_transfer_reconstruction","17x17"
"78","2_-4","wood","set1","group1","000047","13_2",3510.89999997616,0,"session3_transfer_reconstruction","17x17"
"244","-2_6","wood","set2","group2","000244","6_14",19389.2000000477,0,"session3_transfer_reconstruction","17x17"
"104","-6_-2","wood","set1","group1","000071","3_4",9394.79999995232,0,"session3_transfer_reconstruction","17x17"
"146","2_0","wood",NA,"boundary","000047","13_2",4871.60000002384,0,"session3_transfer_reconstruction","17x17"
"110","0_-2","wood","set1","group1","000093","8_5",6951.29999995232,0,"session3_transfer_reconstruction","17x17"
"42","0_-6","wood","set1","group1","000059","8_3",2216.20000004768,0,"session3_transfer_reconstruction","17x17"
"72","-4_-4","wood","set1","group1","000038","4_2",5660.20000004768,0,"session3_transfer_reconstruction","17x17"
"74","-2_-4","wood","set1","group1","000040","6_2",8748.5,0,"session3_transfer_reconstruction","17x17"
"208","-4_4","wood","set2","group2","000225","4_13",10280.5,0,"session3_transfer_reconstruction","17x17"
"116","6_-2","wood","set1","group1","000152","16_8",4832.20000004768,0,"session3_transfer_reconstruction","17x17"
"180","2_2","wood","set2","group2","000169","16_9",1548.5,0,"session3_transfer_reconstruction","17x17"
"210","-2_4","wood","set2","group2","000227","6_13",4655.29999995232,0,"session3_transfer_reconstruction","17x17"
