"answer","correct","key_feature","position","response","rt","stim_coord","stim_idx","session","space_size"
"set2","correct","wood","group1","i",1219,"3_-3",160,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",597,"3_7",370,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",682,"1_-5",116,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",718,"1_-3",158,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",631,"-3_7",364,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",1353,"3_-5",118,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",770,"-3_-7",70,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",1149,"-1_-3",156,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",605,"-1_3",282,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",1090,"-1_-5",114,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",533,"1_5",326,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",549,"3_3",286,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",420,"3_5",328,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",474,"1_7",368,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",654,"1_-7",74,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",562,"-3_-3",154,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",586,"-1_5",324,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",657,"1_3",284,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",879,"-1_7",366,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",904,"-3_3",280,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",923,"-1_-7",72,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",770,"3_-7",76,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",682,"-3_-5",112,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",738,"-3_5",322,"session4_transfer_learning","21x21"
