"answer","answer_coord","key_feature","label","position","response","response_coord","search_rt","space_rotation","session","space_size"
"80","4_-4","wood","set1","group1","000064","13_3",3858.5,0,"session2_reconstruction","17x17"
"142","-2_0","wood",NA,"boundary","000107","5_6",6863.09999990463,0,"session2_reconstruction","17x17"
"214","2_4","wood","set2","group2","000165","12_9",3653,0,"session2_reconstruction","17x17"
"248","2_6","wood","set2","group2","000231","10_13",2611.60000002384,0,"session2_reconstruction","17x17"
"42","0_-6","wood","set1","group1","000077","9_4",2525,0,"session2_reconstruction","17x17"
"246","0_6","wood","set2","group2","000212","8_12",2723.59999990463,0,"session2_reconstruction","17x17"
"176","-2_2","wood","set2","group2","000175","5_10",3655.89999997616,0,"session2_reconstruction","17x17"
"76","0_-4","wood","set1","group1","000128","9_7",3861.60000002384,0,"session2_reconstruction","17x17"
"112","2_-2","wood","set1","group1","000111","9_6",5043.30000007153,0,"session2_reconstruction","17x17"
"146","2_0","wood",NA,"boundary","000096","11_5",2661,0,"session2_reconstruction","17x17"
"108","-2_-2","wood","set1","group1","000058","7_3",5215.5,0,"session2_reconstruction","17x17"
"106","-4_-2","wood","set1","group1","000072","4_4",10425.6000000238,0,"session2_reconstruction","17x17"
"72","-4_-4","wood","set1","group1","000072","4_4",2930.5,0,"session2_reconstruction","17x17"
"74","-2_-4","wood","set1","group1","000074","6_4",3518.79999995232,0,"session2_reconstruction","17x17"
"114","4_-2","wood","set1","group1","000131","12_7",3832.39999997616,0,"session2_reconstruction","17x17"
"148","4_0","wood",NA,"boundary","000134","15_7",2632.20000004768,0,"session2_reconstruction","17x17"
"180","2_2","wood","set2","group2","000165","12_9",2976.20000004768,0,"session2_reconstruction","17x17"
"182","4_2","wood","set2","group2","000167","14_9",1560.19999992847,0,"session2_reconstruction","17x17"
"150","6_0","wood",NA,"boundary","000150","14_8",1377.79999995232,0,"session2_reconstruction","17x17"
"40","-2_-6","wood","set1","group1","000107","5_6",5029.70000004768,0,"session2_reconstruction","17x17"
"210","-2_4","wood","set2","group2","000210","6_12",3083.39999997616,0,"session2_reconstruction","17x17"
"110","0_-2","wood","set1","group1","000077","9_4",6341.69999992847,0,"session2_reconstruction","17x17"
"140","-4_0","wood",NA,"boundary","000141","5_8",6388.80000007153,0,"session2_reconstruction","17x17"
"208","-4_4","wood","set2","group2","000208","4_12",7029,0,"session2_reconstruction","17x17"
"174","-4_2","wood","set2","group2","000157","4_9",2690.09999990463,0,"session2_reconstruction","17x17"
"116","6_-2","wood","set1","group1","000115","13_6",3059.5,0,"session2_reconstruction","17x17"
"212","0_4","wood","set2","group2","000213","9_12",4415.69999992847,0,"session2_reconstruction","17x17"
"172","-6_2","wood","set2","group2","000172","2_10",4366.19999992847,0,"session2_reconstruction","17x17"
"244","-2_6","wood","set2","group2","000245","7_14",4523.30000007153,0,"session2_reconstruction","17x17"
"104","-6_-2","wood","set1","group1","000121","2_7",6393.89999997616,0,"session2_reconstruction","17x17"
"184","6_2","wood","set2","group2","000203","16_11",6231.80000007153,0,"session2_reconstruction","17x17"
"178","0_2","wood","set2","group2","000196","9_11",2604.89999997616,0,"session2_reconstruction","17x17"
"144","0_0","wood",NA,"boundary","000180","10_10",5017.29999995232,0,"session2_reconstruction","17x17"
"138","-6_0","wood",NA,"boundary","000138","2_8",5910.30000007153,0,"session2_reconstruction","17x17"
"216","4_4","wood","set2","group2","000168","15_9",6025,0,"session2_reconstruction","17x17"
"78","2_-4","wood","set1","group1","000096","11_5",4473,0,"session2_reconstruction","17x17"
"44","2_-6","wood","set1","group1","000043","9_2",3820.80000007153,0,"session2_reconstruction","17x17"
