"answer","correct","key_feature","position","response","rt","stim_coord","stim_idx","session","space_size"
"set2","correct","wood","group1","i",826,"3_-7",76,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",695,"-3_3",280,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",593,"-3_7",364,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",469,"1_3",284,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",623,"-3_-5",112,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",591,"1_7",368,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",598,"3_-5",118,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",574,"-1_-3",156,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",585,"-1_-5",114,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",487,"-1_7",366,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",585,"-1_3",282,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",597,"1_-5",116,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",514,"3_-3",160,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",495,"3_5",328,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",575,"-3_5",322,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",673,"1_-3",158,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",537,"1_-7",74,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",473,"1_5",326,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",614,"-3_-3",154,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",727,"3_3",286,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",592,"3_7",370,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",593,"-3_-7",70,"session4_transfer_learning","21x21"
"set1","correct","wood","group2","e",734,"-1_5",324,"session4_transfer_learning","21x21"
"set2","correct","wood","group1","i",562,"-1_-7",72,"session4_transfer_learning","21x21"
