"answer","answer_coord","key_feature","label","position","response","response_coord","search_rt","space_rotation","session","space_size"
"48","-4_-8","wood","set2","group1","000133","7_6",4980.30000007153,0,"session2_reconstruction","21x21"
"268","6_2","wood","set1","group2","000292","19_13",4270,0,"session2_reconstruction","21x21"
"266","4_2","wood","set1","group2","000290","17_13",4367.5,0,"session2_reconstruction","21x21"
"262","0_2","wood","set1","group2","000284","11_13",5981.39999997616,0,"session2_reconstruction","21x21"
"128","-8_-4","wood","set2","group1","000106","1_5",6399.70000004768,0,"session2_reconstruction","21x21"
"224","4_0","wood",NA,"boundary","000245","14_11",4695,0,"session2_reconstruction","21x21"
"256","-6_2","wood","set1","group2","000234","3_11",3489.10000002384,0,"session2_reconstruction","21x21"
"386","-2_8","wood","set1","group2","000325","10_15",6834,0,"session2_reconstruction","21x21"
"264","2_2","wood","set1","group2","000265","13_12",9142.39999997616,0,"session2_reconstruction","21x21"
"384","-4_8","wood","set1","group2","000363","6_17",6539.70000004768,0,"session2_reconstruction","21x21"
"88","-6_-6","wood","set2","group1","000191","2_9",3886.10000002384,0,"session2_reconstruction","21x21"
"340","-6_6","wood","set1","group2","000295","1_14",11684.6000000238,0,"session2_reconstruction","21x21"
"306","2_4","wood","set1","group2","000307","13_14",5334.79999995232,0,"session2_reconstruction","21x21"
"140","4_-4","wood","set2","group1","000142","16_6",3956.30000007153,0,"session2_reconstruction","21x21"
"348","2_6","wood","set1","group2","000354","18_16",6766.80000007153,0,"session2_reconstruction","21x21"
"216","-4_0","wood",NA,"boundary","000195","6_9",7488.60000002384,0,"session2_reconstruction","21x21"
"142","6_-4","wood","set2","group1","000101","17_4",3358.39999997616,0,"session2_reconstruction","21x21"
"390","2_8","wood","set1","group2","000375","18_17",4264.80000007153,0,"session2_reconstruction","21x21"
"312","8_4","wood","set1","group2","000291","18_13",4224.79999995232,0,"session2_reconstruction","21x21"
"218","-2_0","wood",NA,"boundary","000238","7_11",2850.39999997616,0,"session2_reconstruction","21x21"
"100","6_-6","wood","set2","group1","000184","16_8",3095.09999990463,0,"session2_reconstruction","21x21"
"132","-4_-4","wood","set2","group1","000196","7_9",3894.29999995232,0,"session2_reconstruction","21x21"
"174","-4_-2","wood","set2","group1","000216","6_10",2996.59999990463,0,"session2_reconstruction","21x21"
"220","0_0","wood",NA,"boundary","000263","11_12",6104.29999995232,0,"session2_reconstruction","21x21"
"304","0_4","wood","set1","group2","000263","11_12",8202.29999995232,0,"session2_reconstruction","21x21"
"214","-6_0","wood",NA,"boundary","000214","4_10",3509.60000002384,0,"session2_reconstruction","21x21"
"346","0_6","wood","set1","group2","000304","10_14",5778.79999995232,0,"session2_reconstruction","21x21"
"52","0_-8","wood","set2","group1","000096","12_4",6823.89999997616,0,"session2_reconstruction","21x21"
"260","-2_2","wood","set1","group2","000260","8_12",5068.5,0,"session2_reconstruction","21x21"
"298","-6_4","wood","set1","group2","000277","4_13",5744.79999995232,0,"session2_reconstruction","21x21"
"310","6_4","wood","set1","group2","000291","18_13",1856.39999997616,0,"session2_reconstruction","21x21"
"130","-6_-4","wood","set2","group1","000232","1_11",6423.70000004768,0,"session2_reconstruction","21x21"
"172","-6_-2","wood","set2","group1","000210","0_10",4892.89999997616,0,"session2_reconstruction","21x21"
"50","-2_-8","wood","set2","group1","000112","7_5",4183.10000002384,0,"session2_reconstruction","21x21"
"302","-2_4","wood","set1","group2","000281","8_13",6677.70000004768,0,"session2_reconstruction","21x21"
"138","2_-4","wood","set2","group1","000118","13_5",5028,0,"session2_reconstruction","21x21"
"184","6_-2","wood","set2","group1","000203","14_9",2238.89999997616,0,"session2_reconstruction","21x21"
"98","4_-6","wood","set2","group1","000142","16_6",2729,0,"session2_reconstruction","21x21"
"178","0_-2","wood","set2","group1","000053","11_2",7886,0,"session2_reconstruction","21x21"
"254","-8_2","wood","set1","group2","000297","3_14",8249,0,"session2_reconstruction","21x21"
"186","8_-2","wood","set2","group1","000249","18_11",8616.5,0,"session2_reconstruction","21x21"
"90","-4_-6","wood","set2","group1","000134","8_6",9434.5,0,"session2_reconstruction","21x21"
"222","2_0","wood",NA,"boundary","000202","13_9",3006.89999997616,0,"session2_reconstruction","21x21"
"352","6_6","wood","set1","group2","000330","15_15",4209.79999995232,0,"session2_reconstruction","21x21"
"56","4_-8","wood","set2","group1","000205","16_9",2705.10000002384,0,"session2_reconstruction","21x21"
"342","-4_6","wood","set1","group2","000342","6_16",3821.79999995232,0,"session2_reconstruction","21x21"
"176","-2_-2","wood","set2","group1","000238","7_11",3282.10000002384,0,"session2_reconstruction","21x21"
"226","6_0","wood",NA,"boundary","000286","13_13",1692.80000007153,0,"session2_reconstruction","21x21"
"94","0_-6","wood","set2","group1","000221","11_10",4272.70000004768,0,"session2_reconstruction","21x21"
"212","-8_0","wood",NA,"boundary","000193","4_9",2054.70000004768,0,"session2_reconstruction","21x21"
"392","4_8","wood","set1","group2","000346","10_16",4571.19999992847,0,"session2_reconstruction","21x21"
"96","2_-6","wood","set2","group1","000095","11_4",3511.19999992847,0,"session2_reconstruction","21x21"
"344","-2_6","wood","set1","group2","000344","8_16",3199.20000004768,0,"session2_reconstruction","21x21"
"350","4_6","wood","set1","group2","000349","13_16",2900.39999997616,0,"session2_reconstruction","21x21"
"136","0_-4","wood","set2","group1","000180","12_8",3368.80000007153,0,"session2_reconstruction","21x21"
"170","-8_-2","wood","set2","group1","000128","2_6",4900.70000004768,0,"session2_reconstruction","21x21"
"300","-4_4","wood","set1","group2","000303","9_14",6276.5,0,"session2_reconstruction","21x21"
"180","2_-2","wood","set2","group1","000223","13_10",1864.20000004768,0,"session2_reconstruction","21x21"
"92","-2_-6","wood","set2","group1","000134","8_6",3429.70000004768,0,"session2_reconstruction","21x21"
"54","2_-8","wood","set2","group1","000182","14_8",2318.20000004768,0,"session2_reconstruction","21x21"
"308","4_4","wood","set1","group2","000309","15_14",2671.09999990463,0,"session2_reconstruction","21x21"
"270","8_2","wood","set1","group2","000270","18_12",3497.30000007153,0,"session2_reconstruction","21x21"
"296","-8_4","wood","set1","group2","000295","1_14",5935.80000007153,0,"session2_reconstruction","21x21"
"182","4_-2","wood","set2","group1","000249","18_11",9474,0,"session2_reconstruction","21x21"
"228","8_0","wood",NA,"boundary","000228","18_10",1600.29999995232,0,"session2_reconstruction","21x21"
"134","-2_-4","wood","set2","group1","000218","8_10",4953.90000009537,0,"session2_reconstruction","21x21"
"144","8_-4","wood","set2","group1","000224","14_10",5519.89999997616,0,"session2_reconstruction","21x21"
"388","0_8","wood","set1","group2","000346","10_16",4917.19999992847,0,"session2_reconstruction","21x21"
