"answer","answer_coord","key_feature","label","position","response","response_coord","search_rt","space_rotation","session","space_size"
"146","2_0","wood",NA,"boundary","000146","10_8",10809.7999999523,0,"session2_reconstruction","17x17"
"144","0_0","wood",NA,"boundary","000162","9_9",8242.59999990463,0,"session2_reconstruction","17x17"
"212","0_4","wood","set2","group2","000214","10_12",6045.60000002384,0,"session2_reconstruction","17x17"
"216","4_4","wood","set2","group2","000215","11_12",3151.5,0,"session2_reconstruction","17x17"
"174","-4_2","wood","set2","group2","000207","3_12",6001.59999990463,0,"session2_reconstruction","17x17"
"172","-6_2","wood","set2","group2","000139","3_8",3158.39999997616,0,"session2_reconstruction","17x17"
"244","-2_6","wood","set2","group2","000245","7_14",6663.70000004768,0,"session2_reconstruction","17x17"
"116","6_-2","wood","set1","group1","000152","16_8",17461.1999999285,0,"session2_reconstruction","17x17"
"80","4_-4","wood","set1","group1","000083","15_4",5774.79999995232,0,"session2_reconstruction","17x17"
"246","0_6","wood","set2","group2","000264","9_15",6348.09999990463,0,"session2_reconstruction","17x17"
"40","-2_-6","wood","set1","group1","000073","5_4",4508.30000007153,0,"session2_reconstruction","17x17"
"182","4_2","wood","set2","group2","000185","15_10",2736.79999995232,0,"session2_reconstruction","17x17"
"148","4_0","wood",NA,"boundary","000134","15_7",2546.59999990463,0,"session2_reconstruction","17x17"
"208","-4_4","wood","set2","group2","000191","4_11",4648.29999995232,0,"session2_reconstruction","17x17"
"76","0_-4","wood","set1","group1","000182","12_10",4090.30000007153,0,"session2_reconstruction","17x17"
"184","6_2","wood","set2","group2","000201","14_11",6424.69999992847,0,"session2_reconstruction","17x17"
"106","-4_-2","wood","set1","group1","000141","5_8",7180.29999995232,0,"session2_reconstruction","17x17"
"150","6_0","wood",NA,"boundary","000151","15_8",2327.09999990463,0,"session2_reconstruction","17x17"
"176","-2_2","wood","set2","group2","000175","5_10",7474.5,0,"session2_reconstruction","17x17"
"78","2_-4","wood","set1","group1","000134","15_7",4021.5,0,"session2_reconstruction","17x17"
"248","2_6","wood","set2","group2","000249","11_14",5490.29999995232,0,"session2_reconstruction","17x17"
"108","-2_-2","wood","set1","group1","000107","5_6",7892.60000002384,0,"session2_reconstruction","17x17"
"210","-2_4","wood","set2","group2","000229","8_13",6252.60000002384,0,"session2_reconstruction","17x17"
"214","2_4","wood","set2","group2","000232","11_13",2358.5,0,"session2_reconstruction","17x17"
"180","2_2","wood","set2","group2","000181","11_10",2260.89999997616,0,"session2_reconstruction","17x17"
"140","-4_0","wood",NA,"boundary","000141","5_8",12722.7000000477,0,"session2_reconstruction","17x17"
"110","0_-2","wood","set1","group1","000145","9_8",2202.89999997616,0,"session2_reconstruction","17x17"
"44","2_-6","wood","set1","group1","000080","12_4",3471.60000002384,0,"session2_reconstruction","17x17"
"142","-2_0","wood",NA,"boundary","000108","6_6",8957.39999997616,0,"session2_reconstruction","17x17"
"178","0_2","wood","set2","group2","000213","9_12",16054.3999999762,0,"session2_reconstruction","17x17"
"104","-6_-2","wood","set1","group1","000053","2_3",9084.39999997616,0,"session2_reconstruction","17x17"
"114","4_-2","wood","set1","group1","000118","16_6",2591.5,0,"session2_reconstruction","17x17"
"138","-6_0","wood",NA,"boundary","000103","1_6",14063.7000000477,0,"session2_reconstruction","17x17"
"42","0_-6","wood","set1","group1","000129","10_7",4239.89999997616,0,"session2_reconstruction","17x17"
"74","-2_-4","wood","set1","group1","000024","7_1",6642.59999990463,0,"session2_reconstruction","17x17"
"112","2_-2","wood","set1","group1","000080","12_4",4588.29999995232,0,"session2_reconstruction","17x17"
"72","-4_-4","wood","set1","group1","000057","6_3",11571.8999999762,0,"session2_reconstruction","17x17"
