"answer","answer_coord","key_feature","label","position","response","response_coord","search_rt","space_rotation","session","space_size"
"308","4_4","wood","set1","group2","000349","13_16",3089.70000004768,0,"session2_reconstruction","21x21"
"384","-4_8","wood","set1","group2","000384","6_18",15212.3000000715,0,"session2_reconstruction","21x21"
"228","8_0","wood",NA,"boundary","000227","17_10",5225.60000002384,0,"session2_reconstruction","21x21"
"56","4_-8","wood","set2","group1","000163","16_7",6160.59999990463,0,"session2_reconstruction","21x21"
"220","0_0","wood",NA,"boundary","000221","11_10",6568.59999990463,0,"session2_reconstruction","21x21"
"388","0_8","wood","set1","group2","000388","10_18",5139.5,0,"session2_reconstruction","21x21"
"140","4_-4","wood","set2","group1","000263","11_12",9580.70000004768,0,"session2_reconstruction","21x21"
"266","4_2","wood","set1","group2","000267","15_12",4634.70000004768,0,"session2_reconstruction","21x21"
"172","-6_-2","wood","set2","group1","000193","4_9",3598.79999995232,0,"session2_reconstruction","21x21"
"304","0_4","wood","set1","group2","000283","10_13",4801.30000007153,0,"session2_reconstruction","21x21"
"348","2_6","wood","set1","group2","000327","12_15",4437.10000002384,0,"session2_reconstruction","21x21"
"142","6_-4","wood","set2","group1","000204","15_9",4378.80000007153,0,"session2_reconstruction","21x21"
"300","-4_4","wood","set1","group2","000279","6_13",10317.1000000238,0,"session2_reconstruction","21x21"
"170","-8_-2","wood","set2","group1","000192","3_9",8695.60000002384,0,"session2_reconstruction","21x21"
"88","-6_-6","wood","set2","group1","000128","2_6",4294.5,0,"session2_reconstruction","21x21"
"260","-2_2","wood","set1","group2","000261","9_12",9253.5,0,"session2_reconstruction","21x21"
"258","-4_2","wood","set1","group2","000260","8_12",6378.40000009537,0,"session2_reconstruction","21x21"
"310","6_4","wood","set1","group2","000230","20_10",6922.30000007153,0,"session2_reconstruction","21x21"
"100","6_-6","wood","set2","group1","000187","19_8",7174.30000007153,0,"session2_reconstruction","21x21"
"94","0_-6","wood","set2","group1","000223","13_10",4456.10000002384,0,"session2_reconstruction","21x21"
"48","-4_-8","wood","set2","group1","000154","7_7",5629.89999997616,0,"session2_reconstruction","21x21"
"262","0_2","wood","set1","group2","000242","11_11",4782.60000002384,0,"session2_reconstruction","21x21"
"216","-4_0","wood",NA,"boundary","000258","6_12",5957.29999995232,0,"session2_reconstruction","21x21"
"182","4_-2","wood","set2","group1","000186","18_8",5454.10000002384,0,"session2_reconstruction","21x21"
"180","2_-2","wood","set2","group1","000162","15_7",16373.7000000477,0,"session2_reconstruction","21x21"
"218","-2_0","wood",NA,"boundary","000218","8_10",8968.40000009537,0,"session2_reconstruction","21x21"
"270","8_2","wood","set1","group2","000266","14_12",3886,0,"session2_reconstruction","21x21"
"178","0_-2","wood","set2","group1","000242","11_11",9901.70000004768,0,"session2_reconstruction","21x21"
"302","-2_4","wood","set1","group2","000260","8_12",7550.79999995232,0,"session2_reconstruction","21x21"
"254","-8_2","wood","set1","group2","000213","3_10",9723.5,0,"session2_reconstruction","21x21"
"350","4_6","wood","set1","group2","000350","14_16",17794.1000000238,0,"session2_reconstruction","21x21"
"214","-6_0","wood",NA,"boundary","000234","3_11",6281.29999995232,0,"session2_reconstruction","21x21"
"134","-2_-4","wood","set2","group1","000134","8_6",7052.30000007153,0,"session2_reconstruction","21x21"
"298","-6_4","wood","set1","group2","000255","3_12",8245.39999997616,0,"session2_reconstruction","21x21"
"346","0_6","wood","set1","group2","000305","11_14",10921.8000000715,0,"session2_reconstruction","21x21"
"144","8_-4","wood","set2","group1","000098","14_4",3754.80000007153,0,"session2_reconstruction","21x21"
"226","6_0","wood",NA,"boundary","000246","15_11",5991,0,"session2_reconstruction","21x21"
"50","-2_-8","wood","set2","group1","000134","8_6",8001,0,"session2_reconstruction","21x21"
"386","-2_8","wood","set1","group2","000386","8_18",5330.09999990463,0,"session2_reconstruction","21x21"
"90","-4_-6","wood","set2","group1","000217","7_10",7486.69999992847,0,"session2_reconstruction","21x21"
"186","8_-2","wood","set2","group1","000225","15_10",4915.39999997616,0,"session2_reconstruction","21x21"
"52","0_-8","wood","set2","group1","000139","13_6",3362.20000004768,0,"session2_reconstruction","21x21"
"306","2_4","wood","set1","group2","000327","12_15",3754.5,0,"session2_reconstruction","21x21"
"98","4_-6","wood","set2","group1","000163","16_7",2811.29999995232,0,"session2_reconstruction","21x21"
"342","-4_6","wood","set1","group2","000326","11_15",24233.3000000715,0,"session2_reconstruction","21x21"
"296","-8_4","wood","set1","group2","000318","3_15",4693.10000002384,0,"session2_reconstruction","21x21"
"138","2_-4","wood","set2","group1","000118","13_5",5989.79999995232,0,"session2_reconstruction","21x21"
"222","2_0","wood",NA,"boundary","000138","12_6",6899.19999992847,0,"session2_reconstruction","21x21"
"92","-2_-6","wood","set2","group1","000176","8_8",3118.40000009537,0,"session2_reconstruction","21x21"
"96","2_-6","wood","set2","group1","000180","12_8",4897.20000004768,0,"session2_reconstruction","21x21"
"344","-2_6","wood","set1","group2","000344","8_16",3584.10000002384,0,"session2_reconstruction","21x21"
"340","-6_6","wood","set1","group2","000382","4_18",7109.09999990463,0,"session2_reconstruction","21x21"
"352","6_6","wood","set1","group2","000392","14_18",3551.70000004768,0,"session2_reconstruction","21x21"
"312","8_4","wood","set1","group2","000331","16_15",3122.60000002384,0,"session2_reconstruction","21x21"
"212","-8_0","wood",NA,"boundary","000215","5_10",10616.6000000238,0,"session2_reconstruction","21x21"
"390","2_8","wood","set1","group2","000330","15_15",2617.79999995232,0,"session2_reconstruction","21x21"
"130","-6_-4","wood","set2","group1","000214","4_10",3008.70000004768,0,"session2_reconstruction","21x21"
"224","4_0","wood",NA,"boundary","000226","16_10",4420.39999997616,0,"session2_reconstruction","21x21"
"392","4_8","wood","set1","group2","000352","16_16",3571,0,"session2_reconstruction","21x21"
"184","6_-2","wood","set2","group1","000226","16_10",3303,0,"session2_reconstruction","21x21"
"174","-4_-2","wood","set2","group1","000196","7_9",12312.1000000238,0,"session2_reconstruction","21x21"
"136","0_-4","wood","set2","group1","000095","11_4",5520.89999997616,0,"session2_reconstruction","21x21"
"256","-6_2","wood","set1","group2","000298","4_14",7822.60000002384,0,"session2_reconstruction","21x21"
"54","2_-8","wood","set2","group1","000182","14_8",7017.19999992847,0,"session2_reconstruction","21x21"
"128","-8_-4","wood","set2","group1","000150","3_7",11033.5,0,"session2_reconstruction","21x21"
"132","-4_-4","wood","set2","group1","000197","8_9",8331.09999990463,0,"session2_reconstruction","21x21"
"264","2_2","wood","set1","group2","000265","13_12",6608,0,"session2_reconstruction","21x21"
"268","6_2","wood","set1","group2","000288","15_13",2026.5,0,"session2_reconstruction","21x21"
"176","-2_-2","wood","set2","group1","000197","8_9",7326.29999995232,0,"session2_reconstruction","21x21"
