"answer","correct","key_feature","position","response","rt","stim_coord","stim_idx","session","space_size"
"set2","wrong","wood","group1","e",1062,"-3_-5",112,"session1_learning","21x21"
"set1","wrong","wood","group2","i",1086,"1_3",284,"session1_learning","21x21"
"set1","wrong","wood","group2","i",1063,"7_1",248,"session1_learning","21x21"
"set1","correct","wood","group2","e",678,"-3_3",280,"session1_learning","21x21"
"set2","correct","wood","group1","i",702,"-9_-1",190,"session1_learning","21x21"
"set1","correct","wood","group2","e",857,"-3_1",238,"session1_learning","21x21"
"set1","correct","wood","group2","e",868,"-9_1",232,"session1_learning","21x21"
"set2","correct","wood","group1","i",748,"1_-9",32,"session1_learning","21x21"
"set1","correct","wood","group2","e",667,"-3_5",322,"session1_learning","21x21"
"set2","correct","wood","group1","i",559,"-7_-1",192,"session1_learning","21x21"
"set1","correct","wood","group2","e",709,"-5_3",278,"session1_learning","21x21"
"set1","correct","wood","group2","e",445,"3_5",328,"session1_learning","21x21"
"set1","correct","wood","group2","e",637,"-7_3",276,"session1_learning","21x21"
"set2","correct","wood","group1","i",575,"-5_-3",152,"session1_learning","21x21"
"set1","correct","wood","group2","e",556,"-3_9",406,"session1_learning","21x21"
"set1","correct","wood","group2","e",682,"-9_3",274,"session1_learning","21x21"
"set2","correct","wood","group1","i",498,"1_-1",200,"session1_learning","21x21"
"set1","wrong","wood","group2","i",597,"-1_1",240,"session1_learning","21x21"
"set1","correct","wood","group2","e",511,"-1_5",324,"session1_learning","21x21"
"set2","correct","wood","group1","i",588,"3_-7",76,"session1_learning","21x21"
"set1","correct","wood","group2","e",521,"3_9",412,"session1_learning","21x21"
"set2","correct","wood","group1","i",476,"-1_-7",72,"session1_learning","21x21"
"set2","correct","wood","group1","i",498,"7_-5",122,"session1_learning","21x21"
"set1","correct","wood","group2","e",411,"-7_7",360,"session1_learning","21x21"
"set2","correct","wood","group1","i",465,"7_-7",80,"session1_learning","21x21"
"set1","correct","wood","group2","e",483,"-7_5",318,"session1_learning","21x21"
"set1","correct","wood","group2","e",595,"-3_7",364,"session1_learning","21x21"
"set2","correct","wood","group1","i",872,"9_-1",208,"session1_learning","21x21"
"set1","correct","wood","group2","e",611,"7_3",290,"session1_learning","21x21"
"set1","correct","wood","group2","e",1197,"-5_1",236,"session1_learning","21x21"
"set2","correct","wood","group1","i",567,"1_-3",158,"session1_learning","21x21"
"set2","correct","wood","group1","i",589,"5_-7",78,"session1_learning","21x21"
"set1","correct","wood","group2","e",485,"5_3",288,"session1_learning","21x21"
"set1","correct","wood","group2","e",558,"5_7",372,"session1_learning","21x21"
"set2","correct","wood","group1","i",622,"-7_-5",108,"session1_learning","21x21"
"set1","correct","wood","group2","e",482,"1_5",326,"session1_learning","21x21"
"set1","correct","wood","group2","e",452,"9_3",292,"session1_learning","21x21"
"set1","correct","wood","group2","e",449,"-1_9",408,"session1_learning","21x21"
