"answer","correct","key_feature","position","response","rt","stim_coord","stim_idx","session","space_size"
"set1","correct","wood","group1","e",1138,"1_-1",128,"session1_learning","17x17"
"set1","correct","wood","group1","e",467,"-1_-7",24,"session1_learning","17x17"
"set2","correct","wood","group2","i",610,"1_3",196,"session1_learning","17x17"
"set2","correct","wood","group2","i",560,"3_5",232,"session1_learning","17x17"
"set2","correct","wood","group2","i",456,"-1_5",228,"session1_learning","17x17"
"set2","wrong","wood","group2","e",774,"-5_1",156,"session1_learning","17x17"
"set1","correct","wood","group1","e",788,"-7_-3",86,"session1_learning","17x17"
"set1","correct","wood","group1","e",765,"-3_-5",56,"session1_learning","17x17"
"set1","correct","wood","group1","e",695,"3_-1",130,"session1_learning","17x17"
"set1","correct","wood","group1","e",1080,"-5_-1",122,"session1_learning","17x17"
"set2","correct","wood","group2","i",851,"-7_1",154,"session1_learning","17x17"
"set1","correct","wood","group1","e",620,"3_-3",96,"session1_learning","17x17"
"set1","correct","wood","group1","e",504,"-3_-7",22,"session1_learning","17x17"
"set1","correct","wood","group1","e",499,"5_-3",98,"session1_learning","17x17"
"set1","correct","wood","group1","e",670,"-3_-1",124,"session1_learning","17x17"
"set2","correct","wood","group2","i",522,"-3_5",226,"session1_learning","17x17"
"set2","correct","wood","group2","i",788,"1_7",264,"session1_learning","17x17"
"set1","correct","wood","group1","e",584,"-3_-3",90,"session1_learning","17x17"
"set1","correct","wood","group1","e",644,"-5_-5",54,"session1_learning","17x17"
"set1","correct","wood","group1","e",727,"1_-3",94,"session1_learning","17x17"
"set2","correct","wood","group2","i",488,"-7_3",188,"session1_learning","17x17"
"set2","correct","wood","group2","i",653,"3_3",198,"session1_learning","17x17"
"set2","correct","wood","group2","i",602,"7_1",168,"session1_learning","17x17"
"set1","correct","wood","group1","e",453,"-1_-1",126,"session1_learning","17x17"
"set2","wrong","wood","group2","e",417,"3_7",266,"session1_learning","17x17"
"set1","correct","wood","group1","e",590,"1_-5",60,"session1_learning","17x17"
"set1","correct","wood","group1","e",772,"3_-7",28,"session1_learning","17x17"
"set1","correct","wood","group1","e",580,"3_-5",62,"session1_learning","17x17"
"set1","correct","wood","group1","e",691,"5_-5",64,"session1_learning","17x17"
"set2","correct","wood","group2","i",633,"1_1",162,"session1_learning","17x17"
"set2","correct","wood","group2","i",1022,"-1_3",194,"session1_learning","17x17"
"set2","correct","wood","group2","i",469,"1_5",230,"session1_learning","17x17"
"set2","correct","wood","group2","i",472,"-3_7",260,"session1_learning","17x17"
"set2","wrong","wood","group2","e",680,"5_1",166,"session1_learning","17x17"
"set2","correct","wood","group2","i",707,"-5_5",224,"session1_learning","17x17"
"set2","wrong","wood","group2","e",965,"3_1",164,"session1_learning","17x17"
"set2","correct","wood","group2","i",750,"7_3",202,"session1_learning","17x17"
"set2","correct","wood","group2","i",569,"-1_1",160,"session1_learning","17x17"
"set1","correct","wood","group1","e",597,"-1_-3",92,"session1_learning","17x17"
"set1","correct","wood","group1","e",693,"-1_-5",58,"session1_learning","17x17"
"set2","correct","wood","group2","i",564,"5_5",234,"session1_learning","17x17"
"set2","correct","wood","group2","i",511,"-3_3",192,"session1_learning","17x17"
"set1","correct","wood","group1","e",607,"7_-3",100,"session1_learning","17x17"
"set1","correct","wood","group1","e",726,"-7_-1",120,"session1_learning","17x17"
"set1","correct","wood","group1","e",694,"5_-1",132,"session1_learning","17x17"
"set1","correct","wood","group1","e",551,"1_-7",26,"session1_learning","17x17"
"set1","correct","wood","group1","e",571,"-5_-3",88,"session1_learning","17x17"
"set1","correct","wood","group1","e",475,"7_-1",134,"session1_learning","17x17"
"set2","correct","wood","group2","i",522,"-1_7",262,"session1_learning","17x17"
"set2","correct","wood","group2","i",619,"5_3",200,"session1_learning","17x17"
"set2","correct","wood","group2","i",738,"-5_3",190,"session1_learning","17x17"
"set2","correct","wood","group2","i",765,"-3_1",158,"session1_learning","17x17"
