"answer","correct","key_feature","position","response","rt","stim_coord","stim_idx","session","space_size"
"set1","correct","wood","group1","e",1186,"-3_-7",22,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",957,"-1_7",262,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",434,"1_3",196,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",385,"-3_5",226,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",471,"-1_-5",58,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",533,"3_7",266,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",432,"3_-3",96,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",442,"-3_7",260,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",410,"1_-3",94,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",570,"-1_-7",24,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",696,"1_-5",60,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",572,"1_-7",26,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",475,"-3_3",192,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",506,"3_-7",28,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",535,"-1_-3",92,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",479,"-3_-5",56,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",542,"-3_-3",90,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",421,"1_5",230,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",515,"3_3",198,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",473,"-1_3",194,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",462,"-1_5",228,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",443,"3_-5",62,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",484,"3_5",232,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",502,"1_7",264,"session4_transfer_learning","17x17"
