"answer","correct","key_feature","position","response","rt","stim_coord","stim_idx","session","space_size"
"set1","correct","wood","group1","e",587,"-1_-5",58,"session1_learning","17x17"
"set2","correct","wood","group2","i",1672,"-5_3",190,"session1_learning","17x17"
"set1","correct","wood","group1","e",665,"1_-3",94,"session1_learning","17x17"
"set2","correct","wood","group2","i",1072,"-3_3",192,"session1_learning","17x17"
"set1","correct","wood","group1","e",642,"7_-1",134,"session1_learning","17x17"
"set1","correct","wood","group1","e",574,"3_-5",62,"session1_learning","17x17"
"set1","correct","wood","group1","e",517,"5_-1",132,"session1_learning","17x17"
"set2","correct","wood","group2","i",517,"1_7",264,"session1_learning","17x17"
"set1","correct","wood","group1","e",510,"-1_-3",92,"session1_learning","17x17"
"set1","correct","wood","group1","e",611,"3_-3",96,"session1_learning","17x17"
"set2","correct","wood","group2","i",675,"7_3",202,"session1_learning","17x17"
"set2","correct","wood","group2","i",536,"-5_1",156,"session1_learning","17x17"
"set1","correct","wood","group1","e",501,"-3_-7",22,"session1_learning","17x17"
"set2","correct","wood","group2","i",577,"3_1",164,"session1_learning","17x17"
"set1","correct","wood","group1","e",568,"-1_-7",24,"session1_learning","17x17"
"set1","correct","wood","group1","e",600,"1_-5",60,"session1_learning","17x17"
"set2","correct","wood","group2","i",618,"7_1",168,"session1_learning","17x17"
"set2","correct","wood","group2","i",603,"1_3",196,"session1_learning","17x17"
"set1","correct","wood","group1","e",472,"5_-5",64,"session1_learning","17x17"
"set2","correct","wood","group2","i",456,"1_5",230,"session1_learning","17x17"
"set2","correct","wood","group2","i",701,"-3_1",158,"session1_learning","17x17"
"set1","correct","wood","group1","e",586,"-3_-1",124,"session1_learning","17x17"
"set2","correct","wood","group2","i",513,"5_5",234,"session1_learning","17x17"
"set2","correct","wood","group2","i",507,"-3_7",260,"session1_learning","17x17"
"set1","correct","wood","group1","e",497,"-5_-1",122,"session1_learning","17x17"
"set1","wrong","wood","group1","i",436,"5_-3",98,"session1_learning","17x17"
"set1","correct","wood","group1","e",1205,"7_-3",100,"session1_learning","17x17"
"set2","correct","wood","group2","i",541,"-5_5",224,"session1_learning","17x17"
"set2","correct","wood","group2","i",765,"5_3",200,"session1_learning","17x17"
"set1","correct","wood","group1","e",720,"-1_-1",126,"session1_learning","17x17"
"set1","correct","wood","group1","e",543,"3_-7",28,"session1_learning","17x17"
"set1","correct","wood","group1","e",505,"-5_-3",88,"session1_learning","17x17"
"set1","correct","wood","group1","e",476,"3_-1",130,"session1_learning","17x17"
"set2","correct","wood","group2","i",516,"-1_5",228,"session1_learning","17x17"
"set2","correct","wood","group2","i",840,"5_1",166,"session1_learning","17x17"
"set2","correct","wood","group2","i",493,"3_7",266,"session1_learning","17x17"
"set1","correct","wood","group1","e",498,"-7_-3",86,"session1_learning","17x17"
"set1","correct","wood","group1","e",647,"-3_-3",90,"session1_learning","17x17"
"set1","correct","wood","group1","e",574,"-7_-1",120,"session1_learning","17x17"
"set2","correct","wood","group2","i",921,"3_3",198,"session1_learning","17x17"
"set2","correct","wood","group2","i",949,"1_1",162,"session1_learning","17x17"
"set2","correct","wood","group2","i",784,"3_5",232,"session1_learning","17x17"
"set2","correct","wood","group2","i",529,"-1_3",194,"session1_learning","17x17"
"set1","correct","wood","group1","e",573,"-5_-5",54,"session1_learning","17x17"
"set2","correct","wood","group2","i",507,"-3_5",226,"session1_learning","17x17"
"set2","correct","wood","group2","i",569,"-1_7",262,"session1_learning","17x17"
"set1","correct","wood","group1","e",529,"1_-1",128,"session1_learning","17x17"
"set2","correct","wood","group2","i",740,"-7_3",188,"session1_learning","17x17"
"set1","correct","wood","group1","e",536,"1_-7",26,"session1_learning","17x17"
"set1","correct","wood","group1","e",496,"-3_-5",56,"session1_learning","17x17"
"set2","correct","wood","group2","i",648,"-7_1",154,"session1_learning","17x17"
"set2","correct","wood","group2","i",625,"-1_1",160,"session1_learning","17x17"
